Criminality,Area of Responsibility (AOR),Country of Citizenship,Fiscal Year,Fiscal Quarter,Fiscal Month,Month-Year,Administrative Arrests
Other Immigration Violator,Miami,HONDURAS,2024,3,8,May 2024,22
Other Immigration Violator,Miami,HONDURAS,2024,3,9,Jun 2024,12
Other Immigration Violator,Miami,HONDURAS,2024,4,11,Aug 2024,11
Other Immigration Violator,Miami,INDIA,2024,4,12,Sep 2024,26
Other Immigration Violator,Miami,MEXICO,2022,2,6,Mar 2022,11
Other Immigration Violator,Miami,MEXICO,2022,4,11,Aug 2022,17
Other Immigration Violator,Miami,MEXICO,2023,1,3,Dec 2022,12
Other Immigration Violator,Miami,MEXICO,2023,2,5,Feb 2023,11
Other Immigration Violator,Miami,MEXICO,2023,2,6,Mar 2023,11
Other Immigration Violator,Miami,MEXICO,2023,3,7,Apr 2023,19
Other Immigration Violator,Miami,MEXICO,2023,4,12,Sep 2023,10
Other Immigration Violator,Miami,MEXICO,2024,1,3,Dec 2023,14
Other Immigration Violator,Miami,MEXICO,2024,2,5,Feb 2024,13
Other Immigration Violator,Miami,MEXICO,2024,2,6,Mar 2024,19
Other Immigration Violator,Miami,MEXICO,2024,3,7,Apr 2024,50
Other Immigration Violator,Miami,MEXICO,2024,3,8,May 2024,59
Other Immigration Violator,Miami,MEXICO,2024,3,9,Jun 2024,42
Other Immigration Violator,Miami,MEXICO,2024,4,11,Aug 2024,12
Other Immigration Violator,Miami,NICARAGUA,2021,4,10,Jul 2021,15
Other Immigration Violator,Miami,NICARAGUA,2022,1,3,Dec 2021,27
Other Immigration Violator,Miami,NICARAGUA,2022,1,2,Nov 2021,84
Other Immigration Violator,Miami,NICARAGUA,2022,1,1,Oct 2021,20
Other Immigration Violator,Miami,NICARAGUA,2022,2,5,Feb 2022,40
Other Immigration Violator,Miami,NICARAGUA,2022,2,6,Mar 2022,39
Other Immigration Violator,Miami,NICARAGUA,2022,3,7,Apr 2022,26
Other Immigration Violator,Miami,NICARAGUA,2022,3,8,May 2022,35
Other Immigration Violator,Miami,NICARAGUA,2022,3,9,Jun 2022,49
Other Immigration Violator,Miami,NICARAGUA,2022,4,10,Jul 2022,48
Other Immigration Violator,Miami,NICARAGUA,2022,4,11,Aug 2022,50
Other Immigration Violator,Miami,NICARAGUA,2022,4,12,Sep 2022,22
Other Immigration Violator,Miami,NICARAGUA,2023,1,3,Dec 2022,83
Other Immigration Violator,Miami,NICARAGUA,2023,1,2,Nov 2022,52
Other Immigration Violator,Miami,NICARAGUA,2023,1,1,Oct 2022,37
Other Immigration Violator,Miami,NICARAGUA,2023,2,5,Feb 2023,96
Other Immigration Violator,Miami,NICARAGUA,2023,2,6,Mar 2023,76
Other Immigration Violator,Miami,NICARAGUA,2023,2,4,Jan 2023,110
Other Immigration Violator,Miami,NICARAGUA,2023,3,7,Apr 2023,64
Other Immigration Violator,Miami,NICARAGUA,2023,3,8,May 2023,60
Other Immigration Violator,Miami,NICARAGUA,2023,3,9,Jun 2023,59
Other Immigration Violator,Miami,NICARAGUA,2023,4,10,Jul 2023,35
Other Immigration Violator,Miami,NICARAGUA,2023,4,11,Aug 2023,24
Other Immigration Violator,Miami,NICARAGUA,2023,4,12,Sep 2023,49
Other Immigration Violator,Miami,NICARAGUA,2024,1,3,Dec 2023,23
Other Immigration Violator,Miami,NICARAGUA,2024,1,2,Nov 2023,38
Other Immigration Violator,Miami,NICARAGUA,2024,1,1,Oct 2023,51
Other Immigration Violator,Miami,NICARAGUA,2024,2,5,Feb 2024,82
Other Immigration Violator,Miami,NICARAGUA,2024,2,6,Mar 2024,105
Other Immigration Violator,Miami,NICARAGUA,2024,2,4,Jan 2024,35
Other Immigration Violator,Miami,NICARAGUA,2024,3,7,Apr 2024,108
Other Immigration Violator,Miami,NICARAGUA,2024,3,8,May 2024,54
Other Immigration Violator,Miami,NICARAGUA,2024,3,9,Jun 2024,64
Other Immigration Violator,Miami,NICARAGUA,2024,4,10,Jul 2024,40
Other Immigration Violator,Miami,NICARAGUA,2024,4,11,Aug 2024,29
Other Immigration Violator,Miami,NICARAGUA,2024,4,12,Sep 2024,25
Other Immigration Violator,Miami,PERU,2023,3,9,Jun 2023,12
Other Immigration Violator,Miami,PERU,2024,1,1,Oct 2023,11
Other Immigration Violator,Miami,PERU,2024,2,5,Feb 2024,10
Other Immigration Violator,Miami,PERU,2024,2,6,Mar 2024,11
Other Immigration Violator,Miami,VENEZUELA,2021,3,8,May 2021,24
Other Immigration Violator,Miami,VENEZUELA,2021,3,9,Jun 2021,43
Other Immigration Violator,Miami,VENEZUELA,2021,4,10,Jul 2021,24
Other Immigration Violator,Miami,VENEZUELA,2021,4,12,Sep 2021,21
Other Immigration Violator,Miami,VENEZUELA,2022,1,3,Dec 2021,95
Other Immigration Violator,Miami,VENEZUELA,2022,1,2,Nov 2021,224
Other Immigration Violator,Miami,VENEZUELA,2022,1,1,Oct 2021,60
Other Immigration Violator,Miami,VENEZUELA,2022,2,5,Feb 2022,384
Other Immigration Violator,Miami,VENEZUELA,2022,2,6,Mar 2022,266
Other Immigration Violator,Miami,VENEZUELA,2022,2,4,Jan 2022,63
Other Immigration Violator,Miami,VENEZUELA,2022,3,7,Apr 2022,72
Other Immigration Violator,Miami,VENEZUELA,2022,3,8,May 2022,91
Other Immigration Violator,Miami,VENEZUELA,2022,3,9,Jun 2022,46
Other Immigration Violator,Miami,VENEZUELA,2022,4,10,Jul 2022,49
Other Immigration Violator,Miami,VENEZUELA,2022,4,11,Aug 2022,68
Other Immigration Violator,Miami,VENEZUELA,2022,4,12,Sep 2022,25
Other Immigration Violator,Miami,VENEZUELA,2023,1,3,Dec 2022,74
Other Immigration Violator,Miami,VENEZUELA,2023,1,2,Nov 2022,54
Other Immigration Violator,Miami,VENEZUELA,2023,1,1,Oct 2022,65
Other Immigration Violator,Miami,VENEZUELA,2023,2,5,Feb 2023,28
Other Immigration Violator,Miami,VENEZUELA,2023,2,6,Mar 2023,42
Other Immigration Violator,Miami,VENEZUELA,2023,2,4,Jan 2023,31
Other Immigration Violator,Miami,VENEZUELA,2023,3,7,Apr 2023,31
Other Immigration Violator,Miami,VENEZUELA,2023,3,8,May 2023,30
Other Immigration Violator,Miami,VENEZUELA,2023,3,9,Jun 2023,33
Other Immigration Violator,Miami,VENEZUELA,2023,4,10,Jul 2023,20
Other Immigration Violator,Miami,VENEZUELA,2023,4,11,Aug 2023,20
Other Immigration Violator,Miami,VENEZUELA,2023,4,12,Sep 2023,10
Other Immigration Violator,Miami,VENEZUELA,2024,1,3,Dec 2023,20
Other Immigration Violator,Miami,VENEZUELA,2024,1,2,Nov 2023,21
Other Immigration Violator,Miami,VENEZUELA,2024,1,1,Oct 2023,21
Other Immigration Violator,Miami,VENEZUELA,2024,2,5,Feb 2024,26
Other Immigration Violator,Miami,VENEZUELA,2024,2,6,Mar 2024,38
Other Immigration Violator,Miami,VENEZUELA,2024,2,4,Jan 2024,25
Other Immigration Violator,Miami,VENEZUELA,2024,3,7,Apr 2024,10
Other Immigration Violator,Miami,VENEZUELA,2024,3,8,May 2024,14
Other Immigration Violator,Miami,VENEZUELA,2024,3,9,Jun 2024,14
Other Immigration Violator,Miami,VENEZUELA,2024,4,11,Aug 2024,14
Other Immigration Violator,Miami,VENEZUELA,2024,4,12,Sep 2024,18
Other Immigration Violator,New Orleans,BRAZIL,2022,2,6,Mar 2022,10
Other Immigration Violator,New Orleans,BRAZIL,2022,3,7,Apr 2022,12
Other Immigration Violator,New Orleans,BRAZIL,2022,4,11,Aug 2022,10
Other Immigration Violator,New Orleans,BRAZIL,2023,1,1,Oct 2022,11
Other Immigration Violator,New Orleans,COLOMBIA,2022,2,6,Mar 2022,14
Other Immigration Violator,New Orleans,COLOMBIA,2022,3,7,Apr 2022,28
Other Immigration Violator,New Orleans,COLOMBIA,2022,3,8,May 2022,12
Other Immigration Violator,New Orleans,COLOMBIA,2022,3,9,Jun 2022,40
Other Immigration Violator,New Orleans,COLOMBIA,2022,4,10,Jul 2022,41
Other Immigration Violator,New Orleans,COLOMBIA,2022,4,11,Aug 2022,72
Other Immigration Violator,New Orleans,COLOMBIA,2022,4,12,Sep 2022,23
Other Immigration Violator,New Orleans,COLOMBIA,2023,1,3,Dec 2022,71
Other Immigration Violator,New Orleans,COLOMBIA,2023,1,2,Nov 2022,52
Other Immigration Violator,New Orleans,COLOMBIA,2023,1,1,Oct 2022,44
Other Immigration Violator,New Orleans,COLOMBIA,2023,2,5,Feb 2023,65
Other Immigration Violator,New Orleans,COLOMBIA,2023,2,6,Mar 2023,48
Other Immigration Violator,New Orleans,COLOMBIA,2023,2,4,Jan 2023,88
Other Immigration Violator,New Orleans,COLOMBIA,2023,3,7,Apr 2023,25
Other Immigration Violator,New Orleans,COLOMBIA,2023,3,8,May 2023,19
Other Immigration Violator,New Orleans,COLOMBIA,2023,3,9,Jun 2023,21
Other Immigration Violator,New Orleans,COLOMBIA,2023,4,10,Jul 2023,18
Other Immigration Violator,New Orleans,COLOMBIA,2023,4,11,Aug 2023,36
Other Immigration Violator,New Orleans,COLOMBIA,2023,4,12,Sep 2023,14
Other Immigration Violator,New Orleans,COLOMBIA,2024,1,2,Nov 2023,10
Other Immigration Violator,New Orleans,COLOMBIA,2024,1,1,Oct 2023,19
Other Immigration Violator,New Orleans,CUBA,2022,2,6,Mar 2022,44
Other Immigration Violator,New Orleans,CUBA,2022,3,7,Apr 2022,20
Other Immigration Violator,New Orleans,CUBA,2022,3,8,May 2022,42
Other Immigration Violator,New Orleans,CUBA,2022,3,9,Jun 2022,51
Other Immigration Violator,New Orleans,CUBA,2022,4,10,Jul 2022,64
Other Immigration Violator,New Orleans,CUBA,2022,4,11,Aug 2022,98
Other Immigration Violator,New Orleans,CUBA,2022,4,12,Sep 2022,104
Other Immigration Violator,New Orleans,CUBA,2023,1,3,Dec 2022,156
Other Immigration Violator,New Orleans,CUBA,2023,1,2,Nov 2022,155
Other Immigration Violator,New Orleans,CUBA,2023,1,1,Oct 2022,88
Other Immigration Violator,New Orleans,CUBA,2023,2,5,Feb 2023,118
Other Immigration Violator,New Orleans,CUBA,2023,2,6,Mar 2023,47
Other Immigration Violator,New Orleans,CUBA,2023,2,4,Jan 2023,174
Other Immigration Violator,New Orleans,CUBA,2023,3,9,Jun 2023,16
Other Immigration Violator,New Orleans,DOMINICAN REPUBLIC,2023,2,5,Feb 2023,11
Other Immigration Violator,New Orleans,ECUADOR,2023,2,4,Jan 2023,16
Other Immigration Violator,New Orleans,EL SALVADOR,2021,3,9,Jun 2021,13
Other Immigration Violator,New Orleans,EL SALVADOR,2021,4,10,Jul 2021,23
Other Immigration Violator,New Orleans,EL SALVADOR,2021,4,11,Aug 2021,26
Other Immigration Violator,New Orleans,EL SALVADOR,2021,4,12,Sep 2021,31
Other Immigration Violator,New Orleans,EL SALVADOR,2022,1,3,Dec 2021,16
Other Immigration Violator,New Orleans,EL SALVADOR,2022,1,2,Nov 2021,23
Other Immigration Violator,New Orleans,EL SALVADOR,2022,1,1,Oct 2021,62
Other Immigration Violator,New Orleans,EL SALVADOR,2022,2,5,Feb 2022,10
Other Immigration Violator,New Orleans,EL SALVADOR,2022,2,4,Jan 2022,10
Other Immigration Violator,New Orleans,EL SALVADOR,2022,3,7,Apr 2022,23
Other Immigration Violator,New Orleans,EL SALVADOR,2022,3,8,May 2022,14
Other Immigration Violator,New Orleans,EL SALVADOR,2022,3,9,Jun 2022,12
Other Immigration Violator,New Orleans,EL SALVADOR,2022,4,10,Jul 2022,10
Other Immigration Violator,New Orleans,EL SALVADOR,2022,4,11,Aug 2022,17
Other Immigration Violator,New Orleans,EL SALVADOR,2022,4,12,Sep 2022,19
Other Immigration Violator,New Orleans,EL SALVADOR,2023,1,2,Nov 2022,12
Other Immigration Violator,New Orleans,EL SALVADOR,2023,1,1,Oct 2022,11
Other Immigration Violator,New Orleans,EL SALVADOR,2023,2,6,Mar 2023,10
Other Immigration Violator,New Orleans,EL SALVADOR,2023,2,4,Jan 2023,21
Other Immigration Violator,New Orleans,GUATEMALA,2021,1,2,Nov 2020,11
Other Immigration Violator,New Orleans,GUATEMALA,2021,1,1,Oct 2020,11
Other Immigration Violator,New Orleans,GUATEMALA,2021,3,7,Apr 2021,11
Other Immigration Violator,New Orleans,GUATEMALA,2021,3,8,May 2021,12
Other Immigration Violator,New Orleans,GUATEMALA,2021,3,9,Jun 2021,43
Other Immigration Violator,New Orleans,GUATEMALA,2021,4,10,Jul 2021,33
Other Immigration Violator,New Orleans,GUATEMALA,2021,4,11,Aug 2021,89
Other Immigration Violator,New Orleans,GUATEMALA,2021,4,12,Sep 2021,172
Other Immigration Violator,New Orleans,GUATEMALA,2022,1,3,Dec 2021,79
Other Immigration Violator,New Orleans,GUATEMALA,2022,1,2,Nov 2021,87
Other Immigration Violator,New Orleans,GUATEMALA,2022,1,1,Oct 2021,152
Other Immigration Violator,New Orleans,GUATEMALA,2022,2,5,Feb 2022,37
Other Immigration Violator,New Orleans,GUATEMALA,2022,2,6,Mar 2022,46
Other Immigration Violator,New Orleans,GUATEMALA,2022,2,4,Jan 2022,61
Other Immigration Violator,New Orleans,GUATEMALA,2022,3,7,Apr 2022,19
Other Immigration Violator,New Orleans,GUATEMALA,2022,3,8,May 2022,16
Other Immigration Violator,New Orleans,GUATEMALA,2022,3,9,Jun 2022,19
Other Immigration Violator,New Orleans,GUATEMALA,2022,4,10,Jul 2022,24
Other Immigration Violator,New Orleans,GUATEMALA,2022,4,11,Aug 2022,48
Other Immigration Violator,New Orleans,GUATEMALA,2022,4,12,Sep 2022,26
Other Immigration Violator,New Orleans,GUATEMALA,2023,1,3,Dec 2022,28
Other Immigration Violator,New Orleans,GUATEMALA,2023,1,2,Nov 2022,19
Other Immigration Violator,New Orleans,GUATEMALA,2023,1,1,Oct 2022,20
Other Immigration Violator,New Orleans,GUATEMALA,2023,2,5,Feb 2023,35
Other Immigration Violator,New Orleans,GUATEMALA,2023,2,6,Mar 2023,30
Other Immigration Violator,New Orleans,GUATEMALA,2023,2,4,Jan 2023,48
Other Immigration Violator,New Orleans,GUATEMALA,2023,3,7,Apr 2023,27
Other Immigration Violator,New Orleans,GUATEMALA,2023,3,8,May 2023,18
Other Immigration Violator,New Orleans,GUATEMALA,2023,3,9,Jun 2023,18
Other Immigration Violator,New Orleans,GUATEMALA,2023,4,10,Jul 2023,12
Other Immigration Violator,New Orleans,GUATEMALA,2023,4,11,Aug 2023,22
Other Immigration Violator,New Orleans,GUATEMALA,2023,4,12,Sep 2023,18
Other Immigration Violator,New Orleans,GUATEMALA,2024,1,3,Dec 2023,20
Other Immigration Violator,New Orleans,GUATEMALA,2024,1,1,Oct 2023,32
Other Immigration Violator,New Orleans,GUATEMALA,2024,2,5,Feb 2024,24
Other Immigration Violator,New Orleans,GUATEMALA,2024,2,6,Mar 2024,17
Other Immigration Violator,New Orleans,GUATEMALA,2024,3,7,Apr 2024,19
Other Immigration Violator,New Orleans,GUATEMALA,2024,3,8,May 2024,10
Other Immigration Violator,New Orleans,GUATEMALA,2024,3,9,Jun 2024,10
Other Immigration Violator,New Orleans,GUATEMALA,2024,4,11,Aug 2024,14
Other Immigration Violator,New Orleans,HAITI,2022,2,6,Mar 2022,40
Other Immigration Violator,New Orleans,HONDURAS,2021,3,7,Apr 2021,21
Other Immigration Violator,New Orleans,HONDURAS,2021,3,8,May 2021,45
Other Immigration Violator,New Orleans,HONDURAS,2021,3,9,Jun 2021,115
Other Immigration Violator,New Orleans,HONDURAS,2021,4,10,Jul 2021,77
Other Immigration Violator,New Orleans,HONDURAS,2021,4,11,Aug 2021,159
Other Immigration Violator,New Orleans,HONDURAS,2021,4,12,Sep 2021,247
Other Immigration Violator,New Orleans,HONDURAS,2022,1,3,Dec 2021,169
Other Immigration Violator,New Orleans,HONDURAS,2022,1,2,Nov 2021,190
Other Immigration Violator,New Orleans,HONDURAS,2022,1,1,Oct 2021,315
Other Immigration Violator,New Orleans,HONDURAS,2022,2,5,Feb 2022,98
Other Immigration Violator,New Orleans,HONDURAS,2022,2,6,Mar 2022,88
Other Immigration Violator,New Orleans,HONDURAS,2022,2,4,Jan 2022,114
Other Immigration Violator,New Orleans,HONDURAS,2022,3,7,Apr 2022,90
Other Immigration Violator,New Orleans,HONDURAS,2022,3,8,May 2022,78
Other Immigration Violator,New Orleans,HONDURAS,2022,3,9,Jun 2022,83
Other Immigration Violator,New Orleans,HONDURAS,2022,4,10,Jul 2022,75
Other Immigration Violator,New Orleans,HONDURAS,2022,4,11,Aug 2022,122
Other Immigration Violator,New Orleans,HONDURAS,2022,4,12,Sep 2022,57
Other Immigration Violator,New Orleans,HONDURAS,2023,1,3,Dec 2022,70
Other Immigration Violator,New Orleans,HONDURAS,2023,1,2,Nov 2022,47
Other Immigration Violator,New Orleans,HONDURAS,2023,1,1,Oct 2022,54
Other Immigration Violator,New Orleans,HONDURAS,2023,2,5,Feb 2023,42
Other Immigration Violator,New Orleans,HONDURAS,2023,2,6,Mar 2023,38
Other Immigration Violator,New Orleans,HONDURAS,2023,2,4,Jan 2023,61
Other Immigration Violator,New Orleans,HONDURAS,2023,3,7,Apr 2023,12
Other Immigration Violator,New Orleans,HONDURAS,2023,3,8,May 2023,30
Other Immigration Violator,New Orleans,HONDURAS,2023,3,9,Jun 2023,26
Other Immigration Violator,New Orleans,HONDURAS,2023,4,10,Jul 2023,16
Other Immigration Violator,New Orleans,HONDURAS,2023,4,11,Aug 2023,31
Other Immigration Violator,New Orleans,HONDURAS,2023,4,12,Sep 2023,19
Other Immigration Violator,New Orleans,HONDURAS,2024,1,2,Nov 2023,16
Other Immigration Violator,New Orleans,HONDURAS,2024,1,1,Oct 2023,18
Other Immigration Violator,New Orleans,HONDURAS,2024,2,5,Feb 2024,26
Other Immigration Violator,New Orleans,HONDURAS,2024,2,6,Mar 2024,20
Other Immigration Violator,New Orleans,HONDURAS,2024,2,4,Jan 2024,13
Other Immigration Violator,New Orleans,HONDURAS,2024,3,7,Apr 2024,14
Other Immigration Violator,New Orleans,HONDURAS,2024,3,8,May 2024,30
Other Immigration Violator,New Orleans,HONDURAS,2024,3,9,Jun 2024,15
Other Immigration Violator,New Orleans,HONDURAS,2024,4,10,Jul 2024,19
Other Immigration Violator,New Orleans,HONDURAS,2024,4,11,Aug 2024,16
Other Immigration Violator,New Orleans,HONDURAS,2024,4,12,Sep 2024,12
Other Immigration Violator,New Orleans,INDIA,2022,2,5,Feb 2022,14
Other Immigration Violator,New Orleans,INDIA,2022,2,6,Mar 2022,15
Other Immigration Violator,New Orleans,INDIA,2022,4,12,Sep 2022,17
Other Immigration Violator,New Orleans,INDIA,2023,1,2,Nov 2022,20
Other Immigration Violator,New Orleans,INDIA,2023,1,1,Oct 2022,12
Other Immigration Violator,New Orleans,INDIA,2023,2,5,Feb 2023,16
Other Immigration Violator,New Orleans,INDIA,2023,2,6,Mar 2023,20
Other Immigration Violator,New Orleans,INDIA,2023,2,4,Jan 2023,11
Other Immigration Violator,New Orleans,INDIA,2023,3,9,Jun 2023,10
Other Immigration Violator,New Orleans,MEXICO,2022,4,11,Aug 2022,13
Other Immigration Violator,New Orleans,MEXICO,2023,1,3,Dec 2022,17
Other Immigration Violator,New Orleans,MEXICO,2023,1,2,Nov 2022,27
Other Immigration Violator,New Orleans,MEXICO,2023,2,5,Feb 2023,19
Other Immigration Violator,New Orleans,MEXICO,2023,2,6,Mar 2023,19
Other Immigration Violator,New Orleans,MEXICO,2023,2,4,Jan 2023,15
Other Immigration Violator,New Orleans,MEXICO,2023,3,7,Apr 2023,18
Other Immigration Violator,New Orleans,MEXICO,2023,3,8,May 2023,31
Other Immigration Violator,New Orleans,MEXICO,2023,3,9,Jun 2023,24
Other Immigration Violator,New Orleans,MEXICO,2023,4,10,Jul 2023,15
Other Immigration Violator,New Orleans,MEXICO,2023,4,12,Sep 2023,12
Other Immigration Violator,New Orleans,MEXICO,2024,1,2,Nov 2023,17
Other Immigration Violator,New Orleans,MEXICO,2024,2,5,Feb 2024,13
Other Immigration Violator,New Orleans,MEXICO,2024,2,6,Mar 2024,10
Other Immigration Violator,New Orleans,MEXICO,2024,2,4,Jan 2024,12
Other Immigration Violator,New Orleans,MEXICO,2024,3,7,Apr 2024,25
Other Immigration Violator,New Orleans,MEXICO,2024,3,8,May 2024,30
Other Immigration Violator,New Orleans,MEXICO,2024,3,9,Jun 2024,14
Other Immigration Violator,New Orleans,MEXICO,2024,4,10,Jul 2024,15
Other Immigration Violator,New Orleans,MEXICO,2024,4,11,Aug 2024,10
Other Immigration Violator,New Orleans,MEXICO,2024,4,12,Sep 2024,11
Other Immigration Violator,New Orleans,NICARAGUA,2021,3,8,May 2021,11
Other Immigration Violator,New Orleans,NICARAGUA,2021,3,9,Jun 2021,20
Other Immigration Violator,New Orleans,NICARAGUA,2021,4,10,Jul 2021,18
Other Immigration Violator,New Orleans,NICARAGUA,2021,4,11,Aug 2021,19
Other Immigration Violator,New Orleans,NICARAGUA,2021,4,12,Sep 2021,36
Other Immigration Violator,New Orleans,NICARAGUA,2022,1,3,Dec 2021,30
Other Immigration Violator,New Orleans,NICARAGUA,2022,1,2,Nov 2021,37
Other Immigration Violator,New Orleans,NICARAGUA,2022,1,1,Oct 2021,32
Other Immigration Violator,New Orleans,NICARAGUA,2022,2,5,Feb 2022,43
Other Immigration Violator,New Orleans,NICARAGUA,2022,2,6,Mar 2022,129
Other Immigration Violator,New Orleans,NICARAGUA,2022,2,4,Jan 2022,43
Other Immigration Violator,New Orleans,NICARAGUA,2022,3,7,Apr 2022,93
Other Immigration Violator,New Orleans,NICARAGUA,2022,3,8,May 2022,67
Other Immigration Violator,New Orleans,NICARAGUA,2022,3,9,Jun 2022,136
Other Immigration Violator,New Orleans,NICARAGUA,2022,4,10,Jul 2022,169
Other Immigration Violator,New Orleans,NICARAGUA,2022,4,11,Aug 2022,208
Other Immigration Violator,New Orleans,NICARAGUA,2022,4,12,Sep 2022,124
Other Immigration Violator,New Orleans,NICARAGUA,2023,1,3,Dec 2022,306
Other Immigration Violator,New Orleans,NICARAGUA,2023,1,2,Nov 2022,227
Other Immigration Violator,New Orleans,NICARAGUA,2023,1,1,Oct 2022,162
Other Immigration Violator,New Orleans,NICARAGUA,2023,2,5,Feb 2023,322
Other Immigration Violator,New Orleans,NICARAGUA,2023,2,6,Mar 2023,237
Other Immigration Violator,New Orleans,NICARAGUA,2023,2,4,Jan 2023,506
Other Immigration Violator,New Orleans,NICARAGUA,2023,3,7,Apr 2023,167
Other Immigration Violator,New Orleans,NICARAGUA,2023,3,8,May 2023,165
Other Immigration Violator,New Orleans,NICARAGUA,2023,3,9,Jun 2023,141
Other Immigration Violator,New Orleans,NICARAGUA,2023,4,10,Jul 2023,106
Other Immigration Violator,New Orleans,NICARAGUA,2023,4,11,Aug 2023,126
Other Immigration Violator,New Orleans,NICARAGUA,2023,4,12,Sep 2023,77
Other Immigration Violator,New Orleans,NICARAGUA,2024,1,3,Dec 2023,37
Other Immigration Violator,New Orleans,NICARAGUA,2024,1,2,Nov 2023,76
Other Immigration Violator,New Orleans,NICARAGUA,2024,1,1,Oct 2023,82
Other Immigration Violator,New Orleans,NICARAGUA,2024,2,5,Feb 2024,30
Other Immigration Violator,New Orleans,NICARAGUA,2024,2,6,Mar 2024,39
Other Immigration Violator,New Orleans,NICARAGUA,2024,2,4,Jan 2024,30
Other Immigration Violator,New Orleans,NICARAGUA,2024,3,7,Apr 2024,35
Other Immigration Violator,New Orleans,NICARAGUA,2024,3,8,May 2024,29
Other Immigration Violator,New Orleans,NICARAGUA,2024,3,9,Jun 2024,13
Other Immigration Violator,New Orleans,NICARAGUA,2024,4,10,Jul 2024,10
Other Immigration Violator,New Orleans,NICARAGUA,2024,4,11,Aug 2024,14
Other Immigration Violator,New Orleans,PERU,2022,4,12,Sep 2022,12
Other Immigration Violator,New Orleans,PERU,2023,1,3,Dec 2022,26
Other Immigration Violator,New Orleans,PERU,2023,1,2,Nov 2022,11
Other Immigration Violator,New Orleans,PERU,2023,1,1,Oct 2022,17
Other Immigration Violator,New Orleans,PERU,2023,2,5,Feb 2023,11
Other Immigration Violator,New Orleans,PERU,2023,2,6,Mar 2023,22
Other Immigration Violator,New Orleans,PERU,2023,2,4,Jan 2023,30
Other Immigration Violator,New Orleans,REPUBLIC OF TÜRKIYE,2022,3,7,Apr 2022,20
Other Immigration Violator,New Orleans,VENEZUELA,2021,4,10,Jul 2021,17
Other Immigration Violator,New Orleans,VENEZUELA,2021,4,11,Aug 2021,20
Other Immigration Violator,New Orleans,VENEZUELA,2021,4,12,Sep 2021,17
Other Immigration Violator,New Orleans,VENEZUELA,2022,1,3,Dec 2021,29
Other Immigration Violator,New Orleans,VENEZUELA,2022,1,2,Nov 2021,19
Other Immigration Violator,New Orleans,VENEZUELA,2022,1,1,Oct 2021,10
Other Immigration Violator,New Orleans,VENEZUELA,2022,2,5,Feb 2022,115
Other Immigration Violator,New Orleans,VENEZUELA,2022,2,6,Mar 2022,153
Other Immigration Violator,New Orleans,VENEZUELA,2022,2,4,Jan 2022,50
Other Immigration Violator,New Orleans,VENEZUELA,2022,3,7,Apr 2022,79
Other Immigration Violator,New Orleans,VENEZUELA,2022,3,8,May 2022,62
Other Immigration Violator,New Orleans,VENEZUELA,2022,3,9,Jun 2022,97
Other Immigration Violator,New Orleans,VENEZUELA,2022,4,10,Jul 2022,128
Other Immigration Violator,New Orleans,VENEZUELA,2022,4,11,Aug 2022,238
Other Immigration Violator,New Orleans,VENEZUELA,2022,4,12,Sep 2022,236
Other Immigration Violator,New Orleans,VENEZUELA,2023,1,3,Dec 2022,219
Other Immigration Violator,New Orleans,VENEZUELA,2023,1,2,Nov 2022,371
Other Immigration Violator,New Orleans,VENEZUELA,2023,1,1,Oct 2022,287
Other Immigration Violator,New Orleans,VENEZUELA,2023,2,5,Feb 2023,127
Other Immigration Violator,New Orleans,VENEZUELA,2023,2,6,Mar 2023,69
Other Immigration Violator,New Orleans,VENEZUELA,2023,2,4,Jan 2023,204
Other Immigration Violator,New Orleans,VENEZUELA,2023,3,7,Apr 2023,37
Other Immigration Violator,New Orleans,VENEZUELA,2023,3,8,May 2023,18
Other Immigration Violator,New Orleans,VENEZUELA,2023,3,9,Jun 2023,29
Other Immigration Violator,New Orleans,VENEZUELA,2023,4,10,Jul 2023,26
Other Immigration Violator,New Orleans,VENEZUELA,2023,4,11,Aug 2023,14
Other Immigration Violator,New Orleans,VENEZUELA,2023,4,12,Sep 2023,16
Other Immigration Violator,New Orleans,VENEZUELA,2024,1,3,Dec 2023,11
Other Immigration Violator,New Orleans,VENEZUELA,2024,1,2,Nov 2023,12
Other Immigration Violator,New Orleans,VENEZUELA,2024,1,1,Oct 2023,22
Other Immigration Violator,New Orleans,VENEZUELA,2024,3,7,Apr 2024,10
Other Immigration Violator,New York City,BANGLADESH,2022,4,11,Aug 2022,10
Other Immigration Violator,New York City,BRAZIL,2022,1,2,Nov 2021,33
Other Immigration Violator,New York City,BRAZIL,2022,1,1,Oct 2021,12
Other Immigration Violator,New York City,CHILE,2021,4,12,Sep 2021,13
Other Immigration Violator,New York City,CHILE,2022,1,2,Nov 2021,23
Other Immigration Violator,New York City,CHILE,2022,1,1,Oct 2021,23
Other Immigration Violator,New York City,CHILE,2022,2,5,Feb 2022,11
Other Immigration Violator,New York City,CHILE,2022,2,6,Mar 2022,16
Other Immigration Violator,New York City,CHILE,2022,3,7,Apr 2022,14
Other Immigration Violator,New York City,CHILE,2022,3,9,Jun 2022,10
Other Immigration Violator,New York City,CHILE,2022,4,12,Sep 2022,10
Other Immigration Violator,New York City,COLOMBIA,2021,4,12,Sep 2021,11
